Type,Titre,Lieu,Equipe,Président,Intervenant,Date,Année,Mots_clés,Résumé,Langue,Lien,Note,Auteurs,Famille,,,,
Conference Proceedings,A Decision Support System for Better Qualitative Supply Chain Diagnoses,"AGILEA S.A.S., Centre Génie Industriel (CGI), University of Amsterdam [Amsterdam] = Universiteit van Amsterdam (UvA)","Part 11: Agile and Responsive Supply Chains, KTK-4496, DOCA-20, Engineering Sciences [physics]Conference papers, TC 5, WG 5.5",A. Luís Osório,Springer International Publishing,19/09/2022,2022,"Supply chain, Qualitative diagnosis, Theory of constraints, Thinking processes, Decision support system","In the current supply chain world where instability and variability are the norm, being able to efficiently identify/diagnose the root causes of non-performance is of prime importance. Although numerous methods exist to support quantitative diagnosis step, there are very few materials regarding the qualitative dimension of diagnosis. Additionally, the rare existing methods are very time-intensive, need scarce expertise and often produce poor results. In a such context, the problem is how to make supply chain qualitative diagnoses impactful and fast. Practically, this paper develops a business process and its associated knowledge-based system, inspired by the theory of constraints’ thinking processes approach, to effectively support practitioners in their qualitative diagnosis step. A set of real industrial application cases is analyzed to discuss the implications of the contribution. It notably demonstrates that the proposal supports both increasing the impact of the diagnosis and reducing the time of the process by almost 80%.",English,https://imt-mines-albi.hal.science/hal-03775866,"MINES-ALBI, EMAC, CGI, IFIP, IFIP-AICT, IFIP-TC, IFIP-TC5, IFIP-WG, IFIP-WG5-5, IFIP-PROVE, INSTITUTS-TELECOM, IFIP-AICT-662, INSTITUT-MINES-TELECOM","Fouque, Anthony, Lauras, Matthieu, Benaben, Frederick, Afsarmanesh, Hamideh",Industrie du futur responsable,,,,
Conference Proceedings,Making Decisions in Highly Uncertain and Opportunistic Environments: Towards a Decision Support System for Sales and Operations Planning,Centre Génie Industriel (CGI),"KTK-4510, DOCA-22, Engineering Sciences [physics]Conference papers",,,22/06/2022,2022,"Sales and operations planning, S&OP, decision support systems, risk management, uncertainty, decision-making process, information system, MRP II, supply chain management Sales and operations planning, supply chain management","Sales and Operations Planning (S&OP) is a methodology used by most companies to make planning decisions on a medium-term horizon. This methodology and associated tools have been designed for a relatively stable environment. However, this assumption is not relevant anymore, and practitioners face difficulties to perform S&OP in highly uncertain and opportunistic environments. Therefore, this paper proposes to pave the way towards a solution to these difficulties, by introducing a conceptual framework for designing a decision support system for performing S&OP in highly uncertain and opportunistic environments. The paper concludes with a set of research avenues to make it real.",English,https://imt-mines-albi.hal.science/hal-03833267,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Fakhry, Danielle, Oger, Raphaël, Lauras, Matthieu",Industrie du futur responsable,,,,
Conference Proceedings,Collaborative Information Seeking during a 911 Call Surge: A Case Study,"Texas Tech University [Lubbock] (TTU), Centre Génie Industriel (CGI), Pennsylvania State University (Penn State), Chandler Police Department","National Science Foundation. Grant no. 2129126, KTK-4628, DOCA-20, Engineering Sciences [physics]Conference papers",,University of Nebraska Omaha University of Nebraska Omaha,28/05/2023,2023,"Emergency communications, information seeking, emergency management, crisis informatics","This case study examines collaborative information seeking in a public-safety answering point during a 911 call surge that occurred when a man fired an assault rifle at police officers and evaded capture for nearly an hour in March 2020. Overwhelmed by questionable and imprecise reports from 911 callers, telecommunicators and on-scene responders began working together to conduct broad and deep searches for the shooter. Whereas broad searches improved the scope of information gathering by identifying multiple, albeit questionable and imprecise, reports of the suspect’s location, deep searches improved the quality of information gathering by investigating 911 callers’ reports using drone, helicopter, and patrol units. These findings suggest requirements for collaborative information seeking in public-safety answering points, including capabilities to conduct broad and deep searches using next-generation 911 technologies, and command and control requirements for triaging these search taskswithin inter-organizational emergency response systems.",English,https://imt-mines-albi.hal.science/hal-04118644,"MINES-ALBI, EMAC, CGI, IRISA-D7, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Grace, Rob, Montarnal, Aurelie, Petitdemange, Eva, Rutter, Juliette, Rodriguez, Guillermo Romera, Potts, Michelle",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Vers une démarche sécurisée des erreurs médicamenteuses à l’hôpital,"Centre Génie Industriel (CGI), Institut Supérieur d'Informatique et des Techniques de Communication (Université de Sousse) (ISITCom), Institut national universitaire Champollion [Albi] (INUC), Laboratoire de Génie Chimique (LGC), Centre Hospitalier Intercommunal Castres-Mazamet (CHIC-CM), Atout Majeur Concept","KTK-4692, DOCA-00, Engineering Sciences [physics]Conference papers",,,14/06/2023,2023,"Gestion des risques, Prise en charge médicamenteuse, Erreur médicamenteuse, Modélisation du processus","Face aux risques élevés d'événements indésirables liés au processus de la prise en charge médicamenteuse des patients hospitalisés, la promotion de la qualité et de la sécurité des soins est devenue une priorité pour les établissements de santé. La complexité de ce processus de soins peut conduire à des erreurs médicamenteuses avec des conséquences variables, allant de légères à très graves, pour toutes les parties prenantes. Pour assurer la sécurité des patients et réduire les erreurs médicamenteuses, un système de management de la qualité de la prise en charge médicamenteuse, intégrant également une démarche globale de gestion des risques doit être mise en place dans les établissements de santé. Ce travail propose une modélisation de ce processus, pour appréhender sa complexité en promouvant une numérisation au sein de la démarche de gestion de ses risques dans les systèmes hospitaliers soumis à la réglementation française. Cette numérisation repose sur des bases conceptuelles solides permettant de structurer la déclaration des erreurs médicamenteuses, l’implication des techniques et outils de l’Intelligence Artificielle et la Science des Données pour leur classification, l'analyse méthodologique de leurs causes, ainsi que la proposition d’exploiter ce capital pour mieux les gérer ou les prévenir.",French,https://imt-mines-albi.hal.science/hal-04153647,"UNIV-TLSE3, MINES-ALBI, CNRS, EMAC, CGI, INUC, INSTITUTS-TELECOM, LGC, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, INSTITUT-MINES-TELECOM","Touati, Hanae, Thabet, Rafika, Fontanili, Franck, Pingaud, Hervé, Cleostrate, Marie-Helene, Cufi, Marie-Noëlle, Pruski, Marc, Lamine, Elyes",Ingénierie santé et bien-être,,,,
Conference Proceedings,"An Ant Colony System for the Skilled, Multi-depot VRP with Due Dates and Time Windows",Centre Génie Industriel (CGI),"KTK-4712, DOCA-00, Engineering Sciences [physics]Conference papers",,,09/07/2023,2023,"Optimization, Simulation, Vehicle Routing Problem, Ant Colony System, Maintenance Scheduling","This article introduces a real-worl maintenance scheduling problem that can be defined as a Skilled Multi-Depot Vehicle Routing Problem with Due Dates and Time Windows, or Skill-MDVRPDDTW, and addresses two methods to solve it. One is a greedy heuristic inspired from the real-world planning processes used in a water service management context, and the other is a version of the Ant Colony System algorithm, widley used in the literature for the Vehicle Routing Problem and its variants and adapted to fit the features of the real-world maintenance problem. Both the problem and the algorithms are positionned in the literature and mathematically formulated, then experiments and results are discussed and compared through a set of various indicators.",English,https://imt-mines-albi.hal.science/hal-04302099,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Dubillard, Marine, Lorca, Xavier, Lauras, Matthieu",Industrie du futur responsable,,,,
Conference Paper,Supply Chain Network Design for a New Circular Business: a Case Study in Electric Conversion of ICE Vehicles,Centre Génie Industriel (CGI),"DOCA-NS, Computer Science [cs]/Modeling and SimulationConference papers",,,30/05/2023,2023,"Supply Chain Network Design, Circular Economy, Sustainability, Decision Support Systems, Agent-Based Modeling, Discrete Event Simulation","This paper explores the decision support for supply chain network design (SCND) in the context of a new circular business. The number and locations of each supply chain actor, as well as product flows are determined during the SCND process. Different supply chain configurations are evaluated based on economic and environmental aspects using agent-based modeling and discrete event simulation techniques. A case study on retrofit service for Internal Combustion Engine (ICE) vehicles is proposed. The paper provides managerial insights that will assist circular business providers in making informed decisions regarding SCND.",English,https://imt-mines-albi.hal.science/hal-04540128,"MINES-ALBI, EMAC, CGI, TDS-MACS, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Wu, Ziqing, Estavoyer, Victor, Windenberger, Mathieu, Oger, Raphaël",Industrie du futur responsable,,,,
Conference Proceedings,Physics of Decision: Application to Polling Place Risk Management,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta]","KTK-4411, DOCA-20, Engineering Sciences [physics]Conference papers",,IEEE,12/12/2021,2021,,"Managing a system involves defining, assessing and trying to reach objectives. Objectives are often measured using Key Performance Indicators (KPIs). In the context of instability (crisis, global pandemic or just everyday uncertainty), managers have to adapt to multi-dimensional complex situations. This article introduces an innovative approach of risk and opportunity management to help managers in their decision-making processes. This approach enables managers to deal with the considered system's performance trajectory by viewing and assessing the impact of potentialities (risks and opportunities). Potentiality impacts are designed by forces, modifying the system's performance trajectory and its position within its multi-dimensional KPI framework. This approach is illustrated by an application to polling place risk management. This paper presents the results of simulations of a such place confronting pre-identified risks within a KPI framework.",English,https://imt-mines-albi.hal.science/hal-03587009,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Cerabona, Thibaut, Benaben, Frederick, Montreuil, Benoit, Barenji, Ali Vatankhah, Nazzal, Dima",Industrie du futur responsable,,,,
Conference Proceedings,Developing a Recommender System for Frailty Prevention: Addressing Challenges of Data Collection and User Interface Design,"Centre Génie Industriel (CGI), Laboratoire de Génie Chimique (LGC), Université de Toulouse (UT), Berger-Levrault, Ecole d'ingénieurs ISIS - Informatique et Systèmes d'Information pour la Santé","copyright IEEE, KTK-4831, DOCA-22, Engineering Sciences [physics]Conference papers",,IEEE,04/12/2023,2023,"Frailty, Recommender systems, Healthy aging, UI design","Frailty presents a significant global health challenge for older adults, necessitating effective interventions to support healthy aging. Technology-based solutions, particularly recommender systems, hold promise in addressing frailty prevention. This paper presents Senselife platform for service recommendation dedicated for frailty prevention.We delve into the challenges associated with developing an engaging and user-friendly recommender system specifically tailored for frailty prevention. Key challenges we address include implementing effective data collection strategies and designing user-centered interfaces. Our proposed recommendation platform leverages self-evaluation to deliver personalized recommendations, with the goal of enhancing the functional capabilities of older adults. By aligning the available services within the elderly environment with the demands they face, our solution tackles the complexities of managing frailty in this population.Throughout this study, we elucidate the construction of our surveys, the main source of data for Senselife and the design considerations behind our user interfaces, highlighting our efforts in overcoming the unique challenges associated with systems dedicated to elderly usage.",English,https://imt-mines-albi.hal.science/hal-04531804,"UNIV-TLSE3, MINES-ALBI, CNRS, EMAC, CGI, INSTITUTS-TELECOM, LGC, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, INSTITUT-MINES-TELECOM","Frikha, Ghassen, Lorca, Xavier, Pingaud, Hervé, Bortolaso, Christophe, Borgiel, Katarzyna, Lamine, Elyes",Ingénierie santé et bien-être,,,,Souveraineté numérique et sobriété
Conference Proceedings,A Value-Oriented Metamodel for Small and Medium Entreprises Decision Making,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta], AGILEA S.A.S.","KTK-4720, DOCA-00, Engineering Sciences [physics]Conference papers",,,18/11/2023,2023,"SME, Metamodel, Decision support system, Financiel valuation","To be competitive and sustainable, any company has to maximize its value. However, unlike listed companies that can assess their values based on market shares, most Small and Medium Enterprises (SMEs) which are non-listed cannot have direct and live access to this critical information. Traditional accounting reports only give limited insights to SME decision-makers about the real impact of their day-to-day decisions on the company’s performance and value. Most of the time, an SME’s financial valuation is made one time a year as the associated process is time and resource-consuming, requiring several months and external expertise to be completed. To solve this issue, we propose in this paper a value-oriented metamodel that enables real-time and dynamic assessment of the SME’s value based on the large definition of their assets. These assets cover a wider scope of resources of the company and better account for immaterial assets. The proposal, which is illustrated in a case study, discusses the benefits of incorporating assets in the SME valuation",English,https://imt-mines-albi.hal.science/hal-04344342,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Ben Taleb, Romain, Montarnal, Aurelie, Lauras, Matthieu, Dahan, Mathieu, Miclo, Romain",Industrie du futur responsable,,,,Ingénierie santé et bien-être
Conference Paper,Analyse de l'impact de contraintes organisationnelles pour la planification des opérations de maintenance d'un service d'eau,Centre Génie Industriel (CGI),"DOCA-NS, Computer Science [cs]/Operations Research [math.OC], Mathematics [math]/Combinatorics [math.CO]Conference papers",,,23/02/2022,2022,"simulation, optimisation, planification, tournées de véhicules.",Analyse de l'impact de contraintes organisationnelles pour la planification des opérations de maintenance d'un service d'eau,French,https://hal.science/hal-03596169,"MINES-ALBI, EMAC, CGI, TDS-MACS, INSTITUTS-TELECOM, ROADEF2022, INSTITUT-MINES-TELECOM","Dubillard, Marine, Martin, Guillaume, Lauras, Matthieu, Lorca, Xavier",Industrie du futur responsable,,,,"Énergie, économie circulaire et société"
