Type,Titre,Lieu,Auteurs,Equipe,Date,Année,Langue,Lien,Note,Intervenant,Président,Mots_clés,Résumé,Famille,,,,,,
Unpublished work,Démarche outillée d'analyse du déroulement du programme au bloc opératoire : application à la régulation,"Centre Génie Industriel (CGI), Centre Hospitalier de Narbonne (CH Narbonne)","Rifi, Leah, Fontanili, Franck, Jeanney, Michel","ISBN : 9781784058678, Engineering Sciences [physics]Translation",01/09/2022,2022,French,https://hal.science/hal-04383244,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM",,,,,Ingénierie santé et bien-être,,,,,,Ingénierie santé et bien-être
Thesis,Une proposition de système cyber-physique hospitalier à base de doubles numériques,"IMT École nationale supérieure des Mines d'Albi-Carmaux (IMT Mines Albi), Centre Génie Industriel (CGI)","Fontanili, Franck","Caroline Thierry (rapporteure), Thibaud Monteiro (rapporteur), Gregory Zacharewicz (rapporteur), Bruno Vallespir (examinateur), Jane Poincenot (examinatrice), Elyes Lamine (examinateur), Hervé Pingaud (examinateur correspondant INPT), Computer Science [cs]/Modeling and Simulation, Computer Science [cs]/Computer Aided Engineering, Life Sciences [q-bio]/BioengineeringHabilitation à diriger des recherches",05/07/2022,2022,French,https://hal.science/tel-03722853,"MINES-ALBI, EMAC, CGI, TDS-MACS, GDR_MACS, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM",Institut National Polytechnique de Toulouse (INPT),Maria Di Mascolo,"Discrete event simulation and decision-making support, Patient pathways in hospital, Command centers, Predictive control approach, Digital twin DT, Cyber-physical system CPS, Hospital / organization & administration MeSH, Système cyber-physique, Double numérique, Hôpital 4.0, Simulation à événements discrets, Parcours patient, Salle de commande, Pilotage prédictif","L'hôpital est un système particulièrement complexe. Ses missions sont orchestrées par un bouquet de processus composé d'une multitude d'activités réalisées dans une organisation structurée par des services souvent fortement cloisonnés, au travers desquels les patients suivent de nombreux parcours très variés, en étant pris en charge par différentes catégories de ressources humaines. L'incertitude organisationnelle liée au facteur humain est omniprésente et nécessite de prendre au fil de l'eau des décisions opérationnelles, peu souvent centralisées, pour réagir aux dérives et aux perturbations. La qualité des soins et l'excellence médicale sont, à juste titre, les critères prédominants de tout système de santé. Par contre, l'organisation des flux, et en particulier des parcours patients, est un aspect qui a été jusqu'à présent plutôt négligé. Les conséquences sont de plus en plus dramatiques pour les établissements de santé : le surmenage des personnels, même en dehors des périodes de crises sanitaires, et l'insatisfaction des patients face à des temps d'attente jugés trop longs, font que l'hôpital est constamment en tension. Face à une telle situation, on ne peut que constater qu'à l'ère du numérique, la prise en charge d'un patient dans son parcours de soins ne bénéficie pas d'outils de pilotage dignes de ce nom. Il est par exemple très difficile de connaitre en temps réel la volumétrie de patients présents dans l'hôpital ou dans certaines salles, ou leur temps de séjour. Il est encore plus difficile d'estimer de façon fiable les conséquences d'un événement imprévu sur l'organisation à court terme : retard d'un patient ou d'un médecin, urgence, afflux de patients, etc. Ce manuscrit présente tout d'abord des problèmes et des solutions permettant de répondre au besoin de pilotage en temps réel des hôpitaux : les salles de commande, véritables tours de contrôle ou cockpits bardés d'écrans reportant et centralisant toutes les informations utiles à la maitrise de la situation courante, et du passé. En complément, la contribution nouvelle se situe dans le dessein d’un pilotage prédictif : disposer d'un outil d'aide à la décision permettant non seulement de prédire les conséquences à très court terme d'un événement imprévu, et aussi de proposer des solutions à appliquer au plus vite pour atténuer les perturbations qui pourraient survenir si l'on ne cherche pas à contrôler le cours de ces événements. La solution décrite dans ce manuscrit est assimilable à un système cyber-physique à base de trois doubles numériques interconnectés permettant de suivre, de prédire, et d'optimiser les parcours patients dans un hôpital que l’on peut qualifier de 4.0.",Ingénierie santé et bien-être,,,,,,Souveraineté numérique et sobriété
Unpublished work,"JFPC 2019 - Actes des 15es Journées Francophones de Programmation par Contraintes, Albi, France, du 12-14 juin 2019",Centre Génie Industriel (CGI),"Lorca, Xavier, Vareilles, Élise","KTK-3877, Engineering Sciences [physics]Proceedings",2019,2019,French,https://imt-mines-albi.hal.science/hal-02159866,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM",IMT Mines Albi,,,"Les JFPC (Journées Francophones de Programmation par Contraintes) sont le principal congrès de la communauté francophone travaillant sur les problèmes de satisfaction de contraintes (CSP), le problème de la satisfiabilité d'une formule logique propositionnelle (SAT) et/ou la programmation logique avec contraintes (CLP). La communauté de programmation par contraintes entretient également des liens avec la recherche opérationnelle (RO), l'analyse par intervalles et différents domaines de l'intelligence artificielle.L'efficacité des méthodes de résolution et l'extension des modèles permettent à la programmation par contraintes de s'attaquer à des applications nombreuses et variées comme la logistique, l'ordonnancement de tâches, la conception d'emplois du temps, la conception en robotique, l'étude du génôme en bio-informatique, l'optimisation de pratiques agricoles, etc.Les JFPC se veulent un lieu convivial de rencontres, de discussions et d'échanges pour la communauté francophone, en particulier entre doctorants, chercheurs confirmés et industriels. L'importance des JFPC est reflétée par la part considérable (environ un tiers) de la communauté francophone dans la recherche mondiale dans ce domaine.Patronnées par l'AFPC (Association Française pour la Programmation par Contraintes), les JFPC 2019 ont lieu du 12 au 14 Juin 2019 à l'IMT Mines Albi et sont organisées par Xavier Lorca (président du comité scientifique) et par Élise Vareilles (présidente du comité d'organisation).",Souveraineté numérique et sobriété,,,,,,Industrie du futur responsable
Unpublished work,"Navigating Unpredictability: Collaborative Networks in Non-linear Worlds. Part II. Albi, France, 28–30 Octobre 2024.","Universidade Nova de Lisboa = NOVA University Lisbon (NOVA), Universitat Politècnica de València = Universitad Politecnica de Valencia = Polytechnic University of Valencia (UPV), École des Mines de Saint-Étienne (Mines Saint-Étienne MSE), IMT École nationale supérieure des Mines d'Albi-Carmaux (IMT Mines Albi), Centre Génie Industriel (CGI)","Camarinha-Matos, Luis, Ortiz, Angel, Boucher, Xavier, Barthe-Delanoë, Anne-Marie","KTK-4934, Computer Science [cs]/Other [cs.OH]Proceedings",2024,2024,English,https://imt-mines-albi.hal.science/hal-04737871,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM",Springer Nature Switzerland,,"Collaborative Networks, Artificial Intelligence, Human-Machine Collaboration, Emotions, Supply Chain Management, Innovation, Society 5.0, Industry 5.0, Manufacturing, Trust, Digital Twins, Simulation, Collaborative Business Ecosystems","This two-volume set, IFIP AICT 726 and 727, constitutes the refereed proceedings of the 25th IFIP WG 5.5 Working Conference on Virtual Enterprise, PRO-VE 2024, held in Albi, France, during October 28–30, 2024.The 56 full papers presented in these two volumes were carefully reviewed and selected from 113 submissions. The papers presented in these two volumes are organized in the following topical sections:Part I: AI and collaboration; Human-machine collaboration; Emotions and collaborative networks; Collaborative ecosystems: Skills for resilient futures; Collaborative ecosystems: Technologies for resilient futures; Uncertainty and collaboration in supply chain; Collaborative networks as driver of innovation in organizations 5.0: Models; Collaborative networks as driver of innovation in organizations 5.0: Participation; Trust and trustworthy technologies in collaborative networks.Part II: Empowering vulnerable populations well-being through collaborative networks; Collaborative manufacturing systems in the digital era; Fostering collaborative and interoperable digital models for digital twins: Methods; Fostering collaborative and interoperable digital models for digital twins: Cases; Zero defects and zero waste strategies in industrial collaborative networks; Simulation frameworks; Collaborative decision making; Design of collaborative environments.",Industrie du futur responsable,,,,,,"Énergie, économie circulaire et société"
Unpublished work,proceedings of the 8th International Conference on Decision Support System Technology,"Federal University of Pernambuco [Recife], University of Macedonia [Thessaloniki] (UoM), Loughborough University, Centre Génie Industriel (CGI)","Cabral Seixas Costa, Ana Paula, Papathanasiou, Jason, Jayawickrama, Uchitha, Kamissoko, Daouda","KTK-4446, Engineering Sciences [physics]Proceedings",2022,2022,English,https://imt-mines-albi.hal.science/hal-03675310,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, TEST3-HALCNRS, INSTITUT-MINES-TELECOM",Springer International Publishing,,"decision support systems, data analytics, operations research, group decision making, artificial intelligence methods, blockchain","This book constitutes the proceedings of the 8th International Conference on Decision Support Systems Technologies, ICDSST 2022, held during May 23–25, 2022.The EWG-DSS series of International Conference on Decision Support System Technology (ICDSST) is planned to consolidate the tradition of annual events organized by the EWG-DSS in offering a platform for European and international DSS communities, comprising the academic and industrial sectors, to present state-of-the-art DSS research and developments, to discuss current challenges that surround decision-making processes, to exchange ideas about realistic and innovative solutions, and to co-develop potential business opportunities.The main aim of this year’s conference is to investigate the role DSS and related technologies can play in mitigating the impact of pandemics and post-crisis recovery. The 15 papers presented in this volume were carefully reviewed and selected from 46 submissions. They were organized in topical sections as follows: decision support addressing modern industry; decision support addressing business and societal needs, and multiple criteria approaches.",Industrie du futur responsable,,,,,,
Unpublished work,"Editorial - Gestion et ingénierie des systèmes hospitaliers à l’ère du numérique et des innovations organisation. GISEH 2020 - 10 ème Conférence Francophone en Gestion et Ingénierie des Systèmes Hospitaliers. Valenciennes, France, du 26-29 octobre 2020.","Laboratoire d'Automatique, de Mécanique et d'Informatique industrielles et Humaines - UMR 8201 (LAMIH), INSA Institut National des Sciences Appliquées Hauts-de-France (INSA Hauts-De-France), Gestion et Conduite des Systèmes de Production (G-SCOP_GCSP), Centre Génie Industriel (CGI)","Chaabane, Sondès, Di Mascolo, Maria, Fontanili, Franck","KTK-4395, Engineering Sciences [physics]Proceedings",2022,2022,French,https://imt-mines-albi.hal.science/hal-03543538,"UGA, MINES-ALBI, CNRS, UNIV-VALENCIENNES, INPG, G-SCOP, EMAC, G-SCOP_OSP_GCSP, CGI, INSA-GROUPE, INSTITUTS-TELECOM, UGA-EPE, LAMIH, INSA-HAUTS-DE-FRANCE, TEST-UPHF, TEST-SEBASTIEN3, INSTITUT-MINES-TELECOM",ISTE OpenScience,,"GISEH 2020, Gestion et Ingénierie des Systèmes Hospitaliers, Génie industriel et productique, editorial",Ce numéro spécial fait suite à la 10ème Conférence Francophone en Gestion et Ingénierie des Systèmes Hospitaliers – GISEH 2020 – qui a eu lieu à Valenciennes et en ligne en Octobre 2020.,Ingénierie santé et bien-être,,,,,,
Unpublished work,"Proceedings of the 23rd international configuration workshop (cws/confws2021), Vienna, Austria, from September 16-17, 2021","Centre Génie Industriel (CGI), Siemens Vienna, Graz University of Technology [Graz] (TU Graz)","Aldanondo, Michel, Falkner, Andreas, Felfernig, Alexander, Stettinger, Martin","KTK-4343, Engineering Sciences [physics]Proceedings",2021,2021,English,https://imt-mines-albi.hal.science/hal-03355816,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM",CEUR Workshop Proceedings,,,,Industrie du futur responsable,,,,,,
Unpublished work,"Proceedings of the 26th International Workshop on Configuration (ConfWS 2024) co-located with the 30th International Conference on Principles and Practice of Constraint Programming (CP 2024), Girona, Spain, September 2-3, 2024.","IMT École nationale supérieure des Mines d'Albi-Carmaux (IMT Mines Albi), Centre Génie Industriel (CGI), Dipartimento di Ingegneria informatica automatica e gestionale [Roma] (DIAG UNIROMA), Universidad de Málaga [Málaga] = University of Málaga [Málaga], Graz University of Technology [Graz] (TU Graz)","Vareilles, Élise, Grosso, Chiara, Horcas, Jose-Miguel, Felfernig, Alexander","KTK-4950, DOCA-99, Computer Science [cs]/Other [cs.OH]Proceedings",2024,2024,English,https://imt-mines-albi.hal.science/hal-04770758,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM",CEUR-WS.org,,,"The 26th edition of the International Workshop on Configuration (ConfWS 2024) hasbeen co-located with the International Conference on Principles and Practice of ConstraintProgramming (CP 2024 celebrating its 30th anniversary) hosted by the University of Gironain Spain. ConfWS 2024 has been a vibrant hub for researchers and industry professionalsinterested in configuration technology. In addition, for edition 2024, Siemens supported theevent confirming its sponsorship.ConfWS 2024 was a two-day event where high-quality research in all configuration-relatedtechnical areas has been presented. This edition had a special focus on Green Configurationwhich is related to EU Green Deal as stated in the EU Agenda 2050 to drive the EU communityto a more sustainable future. Researchers and experts from academia and industry sharedtheir contributions on the potentials of configuration in achieving sustainability goals for amore sustainable future. The program includes special sessions on green configuration andsustainability, including topics such as sustainability and configurator applications, efficientreasoning, configuration space learning, integration of large language models (LLMs), andfurther aspects related to problem solving and optimization.ConfWS 2024 has been visited by 24 attendants from academia and industry. There were 14papers submitted for peer review to ConfWS 2024. 14 papers were selected for publicationin the workshop proceedings after a review by three independent reviewers per paper. Inaddition, three keynote speakers were invited from three industrial partners: Patrik Östbergand Sonja Arce (from Tacton) presented the talk “Inspiring &amp; enabling manufacturers toshape and build a sustainable future”; Sophie Rogenhofer (from Siemens) presented the talk“Sustainability at Siemens - Scaling sustainability impact”; and Jean-Guillaume Fages (fromCosling) presented the talk “Automating complex computations with Cosling Configurator”.ConfWS 2024 introduced the role of a “Publicity and Social Media Chair” on the organizationcommittee, a role played by Irene Campo Gay (Technical University of Denmark), who wasin charge of promoting the workshop on social media and managing the official workshopaccounts on LinkedIn and Twitter (X). In line with previous editions, the workshopparticipants selected the best paper (“Exploiting Large Language Models for the AutomatedGeneration of Constraint Satisfaction Problems”) and the best student paper (“ConfigurationCopilot: Towards Integrating Large Language Models and Constraints”).We want to thank the ConfWS 2024 authors for their high-quality submissions, the programcommittee members for their high-quality reviews, and the University of Girona and the CPWorkshop Chair and CP Chairs for their proactive support. Further thanks goes to SIEMENSfor sponsoring ConfWS 2024, and the keynote speakers for delivering inspiring presentations.The following projects by the Spanish Ministry of Science, Innovation and Universitiesalso supported the workshop: TASOVA PLUS research network (RED2022-134337-T), IRIS(PID2021-122812OB-I00), and Data-pl (PID2022-138486OB-I00).",Industrie du futur responsable,,,,,,
Unpublished work,"9th International Conference on Decision Support System Technology, ICDSST 2023, Albi, France, May 30 – June 1, 2023, Proceedings","Plymouth University, Université Toulouse Capitole (UT Capitole), Argumentation, Décision, Raisonnement, Incertitude et Apprentissage (IRIT-ADRIA), Centre Génie Industriel (CGI), Université de Namur [Namur] (UNamur), University of Macedonia [Thessaloniki] (UoM)","Liu, Shaofeng, Zaraté, Pascale, Kamissoko, Daouda, Linden, Isabelle, Papathanasiou, Jason","KTK-4620, DOCA-00, Engineering Sciences [physics]Proceedings",2023,2023,English,https://imt-mines-albi.hal.science/hal-04102606,"UNIV-TLSE2, UNIV-TLSE3, MINES-ALBI, CNRS, EMAC, CGI, UT1-CAPITOLE, INSTITUTS-TELECOM, IRIT, IRIT-ADRIA, IRIT-IA, IRIT-UT1C, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, INSTITUT-MINES-TELECOM",Springer Nature Switzerland,,"decision support systems, data analytics, operations research, group decision making, digital twins","This book constitutes the proceedings of the 9th International Conference on Decision Support Systems Technologies, ICDSST 2023, held during May 30 – June 1, 2023. The EWG-DSS series of International Conference on Decision Support System Technology (ICDSST) is planned to consolidate the tradition of annual events organized by the EWG-DSS in offering a platform for European and international DSS communities, comprising the academic and industrial sectors, to present state-of-the-art DSS research and developments, to discuss current challenges that surround decision-making processes, to exchange ideas about realistic and innovative solutions, and to co-develop potential business opportunities. The main theme of this year was “Decision Support Systems in An Uncertain World: The Contribution of Digital Twins”. The 21 papers presented in this volume were carefully reviewed and selected from 65 submissions. They were organized in topical sections as follows: DSS models, methods, and tools; DSS for business performance and stakeholders; DSS applications for sustainability in health, energy and transportation; and DSS users and successful adoption.",Industrie du futur responsable,,,,,,
Unpublished work,"Navigating Unpredictability: Collaborative Networks in Non-linear Worlds. Part I. Albi, France, 28–30 Octobre 2024.","Universidade Nova de Lisboa = NOVA University Lisbon (NOVA), Universitat Politècnica de València = Universitad Politecnica de Valencia = Polytechnic University of Valencia (UPV), École des Mines de Saint-Étienne (Mines Saint-Étienne MSE), IMT École nationale supérieure des Mines d'Albi-Carmaux (IMT Mines Albi), Centre Génie Industriel (CGI)","Camarinha-Matos, Luis, Ortiz, Angel, Boucher, Xavier, Barthe-Delanoë, Anne-Marie","KTK-4933, Computer Science [cs]/Other [cs.OH]Proceedings",2024,2024,English,https://imt-mines-albi.hal.science/hal-04737538,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM",Springer Nature Switzerland,,"Collaborative Networks, Artificial Intelligence, Human-Machine Collaboration, Emotions, Collaborative Business Ecosystems, Innovation, Society 5.0, Industry 5.0, Manufacturing, Trust, Digital Twins, Simulation, Supply Chain Management","This two-volume set, IFIP AICT 726 and 727, constitutes the refereed proceedings of the 25th IFIP WG 5.5 Working Conference on Virtual Enterprise, PRO-VE 2024, held in Albi, France, during October 28–30, 2024.The 56 full papers presented in these two volumes were carefully reviewed and selected from 113 submissions. The papers presented in these two volumes are organized in the following topical sections:Part I: AI and collaboration; Human-machine collaboration; Emotions and collaborative networks; Collaborative ecosystems: Skills for resilient futures; Collaborative ecosystems: Technologies for resilient futures; Uncertainty and collaboration in supply chain; Collaborative networks as driver of innovation in organizations 5.0: Models; Collaborative networks as driver of innovation in organizations 5.0: Participation; Trust and trustworthy technologies in collaborative networks.Part II: Empowering vulnerable populations well-being through collaborative networks; Collaborative manufacturing systems in the digital era; Fostering collaborative and interoperable digital models for digital twins: Methods; Fostering collaborative and interoperable digital models for digital twins: Cases; Zero defects and zero waste strategies in industrial collaborative networks; Simulation frameworks; Collaborative decision making; Design of collaborative environments.",Souveraineté numérique et sobriété,,,,,,
